ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.112.125.57","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","4097","1","2024-02-06T17:22:54.611Z","99","5985","6045"
"45.70.237.134","elite","AS52468","EC","Ufinet Panama S.A.","164","Negocios Y Telefonia Nedetel S.A","4145","socks4","390","1","2024-02-06T17:22:45.312Z","100","5985","6006"
"193.169.81.91","elite","AS49491","UA","Ternet LLC","52","Ternet LTD","5678","socks4","4893","1","2024-02-06T17:22:45.410Z","95","5742","6032"
"197.234.13.52","elite","AS36902","SC","Intelvision","174","Intelvision Ltd","36902","socks4","4499","1","2024-02-06T17:22:45.315Z","99","5892","5929"
"154.113.161.1","elite","AS37282","NG","Mainone Cable Company","133","Mainone Cable Company","5678","socks4","2702","1","2024-02-06T17:22:45.316Z","100","6007","6026"
"132.148.6.255","elite","AS26496","US","GoDaddy.com, LLC","135","GoDaddy.com, LLC","20859","socks5","3501","1","2024-02-06T17:22:45.317Z","99","5931","5981"
"93.87.73.194","elite","AS8400","RS","Telekom Srbija","37","N/A","8080","socks4","620","1","2024-02-06T17:22:35.917Z","100","6057","6058"
"192.163.252.85","elite","AS46606","US","Unified Layer","184","Unified Layer","52119","socks5","2122","1","2024-02-06T17:22:35.814Z","100","6005","6022"
"182.253.175.177","elite","AS17451","ID","Biznet Metronet","169","N/A","5678","socks4","3802","1","2024-02-06T17:22:35.811Z","93","5505","5913"
"180.183.1.188","elite","AS45629","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","4145","socks4","1593","1","2024-02-06T17:22:35.916Z","97","5786","5937"
"185.203.243.160","elite","AS204601","NL","Zomro B.V.","11","Zomro B.V","24522","socks4","4996","1","2024-02-06T17:22:35.813Z","100","5891","5895"
"197.234.13.91","elite","AS36902","SC","Intelvision","174","Intelvision Ltd","4145","socks4","3894","1","2024-02-06T17:22:35.812Z","99","5888","5934"
"200.70.19.82","elite","AS10834","AR","Telefonica de Argentina","222","Telefonica de Argentina","4153","socks4","3299","3","2024-02-06T17:22:26.422Z","99","5943","6022"
"103.200.135.229","elite","AS134739","MM","AGB Communication Co.Ltd","245","N/A","4145","socks4","2707","1","2024-02-06T17:22:26.417Z","68","4076","5969"
"192.154.246.96","elite","AS64200","US","Vivid-hosting LLC","154","Vivid-hosting LLC","9000","socks5","3605","1","2024-02-06T17:22:26.419Z","100","5973","5986"
"45.15.170.94","elite","AS44477","CA","Stark Industries Solutions LTD","96","Ithostline LTD","32768","socks4","2503","1","2024-02-06T17:22:26.517Z","96","5697","5953"
"139.159.138.30","elite","AS55990","CN","Huawei Cloud Service data center","209","Huawei Cloud Service","7890","socks5","2799","1","2024-02-06T17:22:22.836Z","86","5167","6013"
"62.138.0.171","elite","AS8972","FR","Host Europe Group","11","HEG Legacy Networks","51181","socks4","4391","1","2024-02-06T17:22:18.028Z","100","5952","5966"
"183.62.58.37","elite","AS4134","CN","Chinanet","210","Guangzhourunbaoxinxikejiyouxian","1080","socks4","3907","3","2024-02-06T17:22:17.930Z","86","5121","5954"
"177.104.16.118","elite","AS262624","BR","Inetsafe Comercio De Equipamentos Eletronicos Ltda","196","Inetsafe Comercio De Equipamentos Eletronicos Ltda","14880","socks4","5402","1","2024-02-06T17:22:17.935Z","86","5128","5948"
